"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C6,C3,C5,C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"100nF";;;
2;"C10,C11,C8,C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"0.1uF";;;
3;"SW1";"SW_PUSH_6mm";1;"MCU_RESET_BUTTON";;;
4;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
5;"D2";"LED_D5.0mm";1;"WIFI_BLUE_LED";;;
6;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
7;"R7,R1,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"220Ω";;;
8;"C13,C7,C12";"CP_Radial_D5.0mm_P2.00mm";3;"10uF";;;
9;"U2";"Olimex_MOD-WIFI-ESP8266-DEV";1;"Olimex_MOD-WIFI-ESP8266-DEV";;;
10;"R2,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10kΩ";;;
11;"U1";"DIP-28_W7.62mm";1;"ATmega328-P";;;
12;"D3";"LED_D5.0mm";1;"STATE_GREEN_LED";;;
13;"J2";"SAMTEC_USB-B-S-X-X-TH";1;"USB_B";;;
14;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
15;"Brd1";"128x64OLED";1;"SSD1306";;;
16;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1kΩ";;;
17;"C2,C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";2;"22pF";;;
18;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2kΩ";;;
19;"SW2";"SW_PUSH_6mm";1;"SW_Push";;;
20;"J1";"BarrelJack_Horizontal";1;"DC 5V Power";;;
21;"D1";"LED_1206_3216Metric";1;"RED_PWR_LED";;;
22;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
