Ref,Val,Package,PosX,PosY,Rot,Side
"Brd1","SSD1306","128x64OLED",146.000000,-113.600000,0.000000,top
"C1","22pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",135.500000,-66.100000,90.000000,top
"C2","22pF","C_Disc_D3.0mm_W2.0mm_P2.50mm",127.000000,-66.100000,90.000000,top
"C3","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.500000,-65.500000,180.000000,top
"C4","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",142.500000,-70.600000,-90.000000,top
"C5","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",134.000000,-96.500000,90.000000,top
"C6","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",141.500000,-96.500000,90.000000,top
"C7","10uF","CP_Radial_D5.0mm_P2.00mm",172.000000,-119.600000,0.000000,top
"C8","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",170.500000,-110.100000,0.000000,top
"C9","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",170.500000,-102.100000,0.000000,top
"C10","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",196.000000,-84.000000,-90.000000,top
"C11","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",175.500000,-94.500000,180.000000,top
"C12","10uF","CP_Radial_D5.0mm_P2.00mm",119.500000,-53.500000,0.000000,top
"C13","10uF","CP_Radial_D5.0mm_P2.00mm",153.500000,-46.500000,0.000000,top
"D1","RED_PWR_LED","LED_1206_3216Metric",110.500000,-68.500000,0.000000,top
"D2","WIFI_BLUE_LED","LED_D5.0mm",100.210000,-99.750000,0.000000,top
"D3","STATE_GREEN_LED","LED_D5.0mm",87.210000,-99.750000,0.000000,top
"J1","DC 5V Power","BarrelJack_Horizontal",95.500000,-76.042500,0.000000,top
"J2","USB_B","SAMTEC_USB-B-S-X-X-TH",190.200000,-108.500000,90.000000,top
"J3","AVR-ISP-6","PinHeader_2x03_P2.54mm_Vertical",157.460000,-72.500000,90.000000,top
"R1","220Ω","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",106.380000,-61.100000,0.000000,top
"R2","10kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",157.310000,-94.000000,180.000000,top
"R3","1kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",163.500000,-88.620000,90.000000,top
"R4","2kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",170.000000,-58.880000,-90.000000,top
"R5","10kΩ","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",109.500000,-90.000000,0.000000,top
"R6","220Ω","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",97.190000,-90.250000,0.000000,top
"R7","220Ω","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",84.940000,-90.250000,0.000000,top
"SW1","MCU_RESET_BUTTON","SW_PUSH_6mm",176.500000,-87.000000,180.000000,top
"SW2","SW_Push","SW_PUSH_6mm",110.000000,-97.250000,0.000000,top
"U1","ATmega328-P","DIP-28_W7.62mm",155.540000,-80.980000,-90.000000,top
"U2","Olimex_MOD-WIFI-ESP8266-DEV","Olimex_MOD-WIFI-ESP8266-DEV",187.000000,-54.405000,0.000000,top
"U3","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",185.405000,-89.025000,-90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",139.000000,-46.500000,0.000000,top
"Y1","16MHz","Crystal_HC49-4H_Vertical",133.500000,-73.100000,180.000000,top
